Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Label
left,5.708711017150701,11.45053779432703,169.67671008643552,177.23084610460643,168.98545002357082,1.7090063131936262,170.24218457650613,6.31302787121024,9.081707041939241,20.096993564403842,Bicep Curl
left,5.654067301301647,10.35665899013743,169.49836194536465,177.22995450929773,168.9715153030287,1.4823653216160582,171.10716001110993,6.317238871621801,9.086806892055373,20.116029698096693,Bicep Curl
left,5.557877797231946,9.338539595967136,169.29633581872562,177.23837077070107,168.78467737642734,1.1924309534366144,171.83136869520126,6.321633878992373,9.08278336471669,20.298818913915202,Bicep Curl
left,5.502691430453809,8.650091199810701,169.143272848277,177.24069407803924,168.71913120070553,0.9832258842477529,172.30622479801832,6.316444331731084,9.075264756647261,20.35683857434796,Bicep Curl
left,5.505672715234917,8.360018584659697,169.06113696852609,177.2328522726184,168.7010376209951,0.8956883788319685,172.5062157832312,6.3056344249713385,9.072289157984734,20.37195640458577,Bicep Curl
left,5.58614701012783,8.219387273071119,169.0462683387247,177.23175142605376,168.669516588624,0.9475273750950326,172.69990619260045,6.293202465325166,9.060949766999565,20.392135530841312,Bicep Curl
left,5.614018421897784,8.127029949216837,169.05268756646322,177.220980855055,168.65389690784073,0.9666623759996644,172.81172213347816,6.278437743382255,9.056947057538993,20.40375221842839,Bicep Curl
left,5.622565852508113,8.040018121790796,169.06553294534086,177.21160937536357,168.6190088594966,0.9771413001110838,172.90931882729095,6.2676972449140544,9.055570052167075,20.437260413672572,Bicep Curl
left,5.614434493688657,8.021211529185042,169.08081231004388,177.2106552934924,168.61655269853856,0.9807322884026899,172.93179432387132,6.264220271025911,9.053042315513858,20.437190786620953,Bicep Curl
left,5.591351424650874,8.05755162134607,169.12898573586736,177.20952832639077,168.59637112624583,0.9900754093333369,172.90499348954407,6.248677576321344,9.038621654288434,20.4429492327663,Bicep Curl
left,5.555672509670411,8.085981249285457,169.1952377274869,177.18179325952246,168.5846284500725,0.9919306422072041,172.87845757027316,6.220011705265741,9.037678729537253,20.453751413491215,Bicep Curl
left,5.536235700694946,8.073444196513458,169.22076671113624,177.17775183199393,168.58634940424594,0.9901664091728734,172.88918704502595,6.21213053755772,9.033832605934757,20.448189348294285,Bicep Curl
left,5.520485119148766,8.038291040902843,169.23887055094642,177.17971293453715,168.58198515363662,0.9917561716343298,172.92596121078347,6.211416208559669,9.031155690166772,20.44987801649149,Bicep Curl
left,5.516053082839357,8.03201473249955,169.25238063672703,177.19752787539136,168.5466843457244,1.009747384921223,172.95063584362265,6.220756860362626,9.022685391724806,20.476703517764264,Bicep Curl
left,5.474904587265076,8.0086424238378,169.24653171065012,177.21069046050357,168.54486512593235,0.9738410835040479,172.93724068865578,6.23097985015551,9.019749302382182,20.475586953695128,Bicep Curl
left,5.455164371834771,8.053994154411006,169.25490368787268,177.21501150822925,168.5437803580996,0.966700651063402,172.88458857628265,6.235044288959045,9.019494137246195,20.476417873035636,Bicep Curl
left,5.431476892816039,8.102585044842396,169.2538680343969,177.22961408043153,168.52717266882604,0.9537259836111732,172.82275462372158,6.246531752476512,9.016384323862798,20.48991502602916,Bicep Curl
left,5.419613365423867,8.324487543829722,169.25891059726095,177.23643594403472,168.52376267666332,0.9539725653836089,172.6012482394138,6.253686399139702,9.016719892109858,20.493661086879364,Bicep Curl
left,5.4569810303764985,9.332447168320767,169.30401021744197,177.25872747109776,168.4700124961045,1.0584297938002758,171.70044461600006,6.278191891085035,9.018944772370181,20.549627946807313,Bicep Curl
